time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1SpeakingU2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
1.440,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.794, 342.852, 359.746,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.245, 306.660,null,null,null,0,null,null,null,1,0,0.935, -0.027, -0.322,0.944, 1.277, 0.003,347.737, 354.873, 354.543,1.042, 0.891, 0.362,339.376, 337.554, 351.196,0.766, 0.898, 0.273,350.512, 20.834, 5.197,null,null,null,0,null,null,null,1,0
1.480,0.000, -0.027, 0.000,-0.381, 0.816, 0.443,354.780, 342.870, 359.774,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.659,null,null,null,0,null,null,null,1,0,0.935, -0.027, -0.322,0.944, 1.278, 0.002,347.597, 354.017, 354.677,1.041, 0.891, 0.361,339.518, 337.023, 351.371,0.765, 0.895, 0.275,350.890, 19.847, 6.053,null,null,null,0,null,null,null,1,0
1.519,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.737, 342.876, 359.726,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.659,null,null,null,0,null,null,null,1,0,0.935, -0.027, -0.322,0.953, 1.273, -0.006,347.774, 351.871, 354.677,1.044, 0.890, 0.357,340.605, 336.175, 349.798,0.768, 0.902, 0.274,348.295, 20.254, 3.162,null,null,null,0,null,null,null,1,0
1.560,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.752, 342.841, 359.753,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.935, -0.027, -0.322,0.958, 1.270, -0.010,347.470, 351.120, 354.941,1.045, 0.891, 0.356,340.423, 336.862, 349.111,0.770, 0.905, 0.273,346.890, 20.056, 3.372,null,null,null,0,null,null,null,1,0
1.600,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.800, 342.875, 359.739,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.978, -0.027, -0.356,1.005, 1.267, -0.046,347.666, 350.706, 354.746,1.089, 0.890, 0.323,341.684, 336.733, 348.486,0.813, 0.907, 0.239,347.102, 20.749, 7.336,null,null,null,0,null,null,null,1,0
1.639,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.751, 342.866, 359.764,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,1.021, -0.027, -0.389,1.052, 1.266, -0.083,347.775, 350.386, 354.539,1.132, 0.890, 0.288,340.572, 336.650, 349.417,0.858, 0.910, 0.202,343.866, 19.512, 1.809,null,null,null,0,null,null,null,1,0
1.679,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.753, 342.870, 359.765,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,1.021, -0.027, -0.389,1.056, 1.264, -0.086,347.548, 350.111, 354.354,1.134, 0.890, 0.289,341.273, 337.422, 347.246,0.862, 0.906, 0.204,347.147, 20.294, 359.268,null,null,null,0,null,null,null,1,0
1.718,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.753, 342.866, 359.736,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,1.192, -0.027, -0.484,1.229, 1.263, -0.183,347.630, 350.158, 354.075,1.305, 0.890, 0.193,341.603, 337.713, 347.041,1.034, 0.904, 0.109,347.854, 21.766, 358.025,null,null,null,0,null,null,null,1,0
1.759,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.769, 342.852, 359.761,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,1.192, -0.027, -0.484,1.231, 1.263, -0.185,347.798, 350.360, 353.830,1.305, 0.892, 0.191,340.745, 338.117, 347.348,1.037, 0.901, 0.108,348.262, 21.068, 354.390,null,null,null,0,null,null,null,1,0
1.800,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.757, 342.863, 359.723,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,1.192, -0.027, -0.484,1.232, 1.263, -0.187,347.919, 350.431, 354.019,1.305, 0.891, 0.190,341.386, 339.095, 346.071,1.039, 0.897, 0.108,350.194, 21.584, 353.219,null,null,null,0,null,null,null,1,0
