time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1Speaking,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
1.440,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.781, 20.484, 1.401,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.005, 1.248, 0.013,357.351, 345.732, 5.381,0.153, 0.754, 0.232,355.176, 332.047, 3.956,-0.056, 0.765, 0.299,6.562, 14.454, 20.503,null,null,null,0,null,null,null,1,0
1.480,0.000, -0.027, 0.000,0.761, 0.830, 0.148,356.780, 20.486, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.003, 1.248, 0.014,357.398, 346.195, 5.299,0.154, 0.753, 0.232,355.355, 332.111, 3.694,-0.054, 0.765, 0.299,6.693, 14.526, 19.702,null,null,null,0,null,null,null,1,0
1.519,0.000, -0.027, 0.000,0.761, 0.830, 0.148,356.778, 20.484, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.001, 1.248, 0.015,357.395, 346.513, 5.234,0.155, 0.753, 0.232,355.391, 332.132, 3.807,-0.052, 0.765, 0.298,6.561, 14.699, 18.799,null,null,null,0,null,null,null,1,0
1.560,0.000, -0.027, 0.000,0.761, 0.829, 0.148,356.782, 20.483, 1.394,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.004, 1.249, 0.017,357.363, 347.724, 4.981,0.156, 0.753, 0.233,355.468, 332.211, 4.348,-0.045, 0.765, 0.296,5.961, 15.456, 15.201,null,null,null,0,null,null,null,1,0
1.600,0.000, -0.027, 0.000,0.761, 0.829, 0.148,356.774, 20.488, 1.394,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.008, 1.249, 0.019,357.341, 348.731, 4.769,0.158, 0.754, 0.233,355.532, 332.278, 4.798,-0.039, 0.765, 0.293,5.498, 16.113, 12.206,null,null,null,0,null,null,null,1,0
1.641,0.000, -0.027, 0.000,0.761, 0.830, 0.148,356.772, 20.485, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.015, 1.249, 0.021,357.322, 350.062, 4.340,0.161, 0.758, 0.234,354.892, 332.790, 4.639,-0.030, 0.765, 0.289,4.560, 17.858, 10.413,null,null,null,0,null,null,null,1,0
1.681,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.777, 20.489, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.025, 1.250, 0.023,357.363, 352.314, 3.766,0.167, 0.766, 0.237,353.577, 334.131, 4.709,-0.013, 0.766, 0.281,3.419, 21.203, 9.619,null,null,null,0,null,null,null,1,0
1.721,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.772, 20.487, 1.391,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.035, 1.250, 0.026,357.425, 354.542, 3.200,0.173, 0.775, 0.240,352.275, 335.460, 4.748,0.004, 0.767, 0.274,2.336, 24.525, 8.769,null,null,null,0,null,null,null,1,0
1.760,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.769, 20.484, 1.394,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.040, 1.250, 0.028,357.414, 355.748, 3.026,0.180, 0.784, 0.241,350.884, 336.978, 3.478,0.016, 0.771, 0.267,1.218, 28.495, 8.494,null,null,null,0,null,null,null,1,0
1.800,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.774, 20.485, 1.392,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,-0.003, -0.027, -0.004,0.042, 1.250, 0.026,357.488, 356.689, 2.801,0.184, 0.795, 0.238,349.499, 338.640, 1.315,0.020, 0.779, 0.261,0.692, 31.617, 8.975,null,null,null,0,null,null,null,1,0
